Entry	Gene names	Protein names	Annotation	Gene ontology (biological process)	Cross-reference (KEGG)	Cross-reference (Pfam)	EnsemblBacteria transcript	Cross-reference (BioCyc)
P45544	frlR yhfR b3375 JW5698	Probable fructoselysine utilization operon transcriptional repressor (HTH-type transcriptional regulator FrlR)	3 out of 5	negative regulation of transcription, DNA-templated [GO:0045892]; transcription, DNA-templated [GO:0006351]	ecj:JW5698;eco:b3375;	PF00392;PF07702;	AAC76400;BAE77916;	EcoCyc:G7727-MONOMER;ECOL316407:JW5698-MONOMER;
P0A9F6	gcvA b2808 JW2779	Glycine cleavage system transcriptional activator (Gcv operon activator)	3 out of 5	regulation of transcription, DNA-templated [GO:0006355]; response to UV [GO:0009411]; transcription, DNA-templated [GO:0006351]	ecj:JW2779;eco:b2808;	PF00126;PF03466;	AAC75850;BAE76880;	EcoCyc:PD00339;ECOL316407:JW2779-MONOMER;
P0ACL0	glpR b3423 JW3386	Glycerol-3-phosphate regulon repressor	3 out of 5	glycerol metabolic process [GO:0006071]	ecj:JW3386;	PF00455;PF08220;	BAE77869;	ECOL316407:JW3386-MONOMER;
P68688	grxA grx b0849 JW0833	Glutaredoxin 1 (Grx1)	5 out of 5	cell redox homeostasis [GO:0045454]; deoxyribonucleotide biosynthetic process [GO:0009263]	ecj:JW0833;eco:b0849;	PF00462;	AAC73936;BAA35552;	EcoCyc:RED-GLUTAREDOXIN;ECOL316407:JW0833-MONOMER;MetaCyc:RED-GLUTAREDOXIN;
P0AEQ6	glnP b0810 JW0795	Glutamine transport system permease protein GlnP	3 out of 5	amino acid transport [GO:0006865]	ecj:JW0795;eco:b0810;	PF00528;	AAC73897;BAA35482;	EcoCyc:GLNP-MONOMER;ECOL316407:JW0795-MONOMER;MetaCyc:GLNP-MONOMER;
P75767	ybhK b0780 JW0763	Putative gluconeogenesis factor	2 out of 5	regulation of cell shape [GO:0008360]	ecj:JW0763;eco:b0780;	PF01933;	AAC73867;BAA35438;	EcoCyc:G6402-MONOMER;ECOL316407:JW0763-MONOMER;
P46846	gntX yhgH b3413 JW5691	DNA utilization protein YhgH (Protein GntX)	3 out of 5	carbon utilization [GO:0015976]; DNA catabolic process [GO:0006308]; nucleoside metabolic process [GO:0009116]	ecj:JW5691;eco:b3413;	PF00156;	AAC76438;BAE77878;	EcoCyc:G7747-MONOMER;ECOL316407:JW5691-MONOMER;
P37651	bcsZ bcsC yhjM b3531 JW3499	Endoglucanase (EC 3.2.1.4) (Carboxymethylcellulase) (CMCase) (Cellulase) (Endo-1,4-beta-glucanase)	4 out of 5	cellulose catabolic process [GO:0030245]	ecj:JW3499;eco:b3531;	PF01270;	AAC76556;BAE77763;	EcoCyc:EG12258-MONOMER;ECOL316407:JW3499-MONOMER;MetaCyc:EG12258-MONOMER;
P45757	gspC yheE b3324 JW3286	Putative type II secretion system protein C (T2SS protein C) (Putative general secretion pathway protein C)	2 out of 5	protein secretion by the type II secretion system [GO:0015628]	ecj:JW3286;eco:b3324;	PF11356;	AAC76349;BAE77967;	EcoCyc:G7702-MONOMER;ECOL316407:JW3286-MONOMER;MetaCyc:G7702-MONOMER;
P0ACE3	hha b0460 JW0449	Hemolysin expression-modulating protein Hha	5 out of 5	regulation of gene expression [GO:0010468]	ecj:JW0449;eco:b0460;	PF05321;	AAC73562;BAE76239;	EcoCyc:EG10439-MONOMER;ECOL316407:JW0449-MONOMER;
P07109	hisP b2306 JW2303	Histidine transport ATP-binding protein HisP	3 out of 5	histidine transport [GO:0015817]; L-histidine import across plasma membrane [GO:1903810]; L-histidine transmembrane transport [GO:0089709]	ecj:JW2303;eco:b2306;	PF00005;	AAC75366;BAA16143;	EcoCyc:HISP-MONOMER;ECOL316407:JW2303-MONOMER;
P76658	hldE rfaE waaE yqiF b3052 JW3024	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	5 out of 5	ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171]; lipopolysaccharide core region biosynthetic process [GO:0009244]	ecj:JW3024;eco:b3052;	PF01467;PF00294;	AAC76088;BAE77103;	EcoCyc:G7590-MONOMER;ECOL316407:JW3024-MONOMER;MetaCyc:G7590-MONOMER;
P0AB20	hspQ yccV b0966 JW5970	Heat shock protein HspQ	2 out of 5	response to heat [GO:0009408]	ecj:JW5970;eco:b0966;	PF08755;	AAC74052;BAA35731;	EcoCyc:G6500-MONOMER;ECOL316407:JW5970-MONOMER;
P0A955	eda hga kdgA b1850 JW1839	KHG/KDPG aldolase [Includes: 4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (2-keto-4-hydroxyglutarate aldolase) (KHG-aldolase); 2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14) (2-keto-3-deoxy-6-phosphogluconate aldolase) (KDPG-aldolase) (Phospho-2-dehydro-3-deoxygluconate aldolase) (Phospho-2-keto-3-deoxygluconate aldolase)]	5 out of 5	metabolic process [GO:0008152]	ecj:JW1839;eco:b1850;	PF01081;	AAC74920;BAA15658;	EcoCyc:KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER;ECOL316407:JW1839-MONOMER;MetaCyc:KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER;
P12999	bioC b0777 JW0760	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)	3 out of 5	biotin biosynthetic process [GO:0009102]; methylation [GO:0032259]	ecj:JW0760;eco:b0777;	PF08241;	AAC73864;BAE76364;	EcoCyc:EG10119-MONOMER;ECOL316407:JW0760-MONOMER;MetaCyc:EG10119-MONOMER;
P28246	bcr bicA bicR sur suxA b2182 JW5363	Bicyclomycin resistance protein (Sulfonamide resistance protein)	5 out of 5	cysteine export across plasma membrane [GO:0033228]; dipeptide transmembrane transport [GO:0035442]; drug transmembrane transport [GO:0006855]; protein transport [GO:0015031]; response to antibiotic [GO:0046677]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	ecj:JW5363;eco:b2182;	PF07690;	AAC75243;BAE76647;	EcoCyc:BCR-MONOMER;ECOL316407:JW5363-MONOMER;MetaCyc:BCR-MONOMER;
P0A7A9	ppa b4226 JW4185	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	5 out of 5	phosphate-containing compound metabolic process [GO:0006796]	ecj:JW4185;eco:b4226;	PF00719;	AAC77183;BAE78227;	EcoCyc:INORGPYROPHOSPHAT-MONOMER;ECOL316407:JW4185-MONOMER;MetaCyc:INORGPYROPHOSPHAT-MONOMER;
P37326	intS intC yfdB b2349 JW2345	Prophage integrase IntS (Putative prophage CPS-53 integrase)	4 out of 5	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; provirus excision [GO:0032359]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]	ecj:JW2345;eco:b2349;	PF13356;PF14659;PF00589;	AAC75408;BAA16208;	EcoCyc:G7218-MONOMER;ECOL316407:JW2345-MONOMER;
P23331	tdk b1238 JW1226	Thymidine kinase (EC 2.7.1.21)	4 out of 5	DNA biosynthetic process [GO:0071897]; dTMP salvage [GO:0036198]; thymidine metabolic process [GO:0046104]	ecj:JW1226;eco:b1238;	PF00265;	AAC74320;BAA36118;	EcoCyc:TDK-MONOMER;ECOL316407:JW1226-MONOMER;MetaCyc:TDK-MONOMER;
P0A712	kdgT b3909 JW5560	2-keto-3-deoxygluconate permease (KDG permease)	3 out of 5	gluconate transmembrane transport [GO:0035429]	ecj:JW5560;eco:b3909;	PF03812;	AAC76891;BAE77400;	EcoCyc:KDGT-MONOMER;ECOL316407:JW5560-MONOMER;MetaCyc:KDGT-MONOMER;
P37769	kduD ygeC yqeD b2842 JW2810	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) (2-deoxy-D-gluconate 3-dehydrogenase) (2-keto-3-deoxygluconate 5-dehydrogenase) (2-keto-3-deoxygluconate oxidoreductase) (KDG oxidoreductase) (20-ketosteroid reductase) (EC 1.1.1.-)	5 out of 5	D-galacturonate catabolic process [GO:0019698]; D-glucuronate catabolic process [GO:0042840]; oxidation-reduction process [GO:0055114]	ecj:JW2810;eco:b2842;		AAC75881;BAE76911;	EcoCyc:KDUD-MONOMER;ECOL316407:JW2810-MONOMER;MetaCyc:KDUD-MONOMER;
P30126	leuD b0071 JW0070	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	4 out of 5	leucine biosynthetic process [GO:0009098]	ecj:JW0070;eco:b0071;	PF00694;	AAC73182;BAB96640;	EcoCyc:LEUD-MONOMER;ECOL316407:JW0070-MONOMER;MetaCyc:LEUD-MONOMER;
P0AD74	pheM phtL b1715 JW1705	Phenylalanine--tRNA ligase operon leader peptide (pheST attenuator peptide)	1 out of 5	regulation of transcription, DNA-templated [GO:0006355]	ecj:JW1705;eco:b1715;		AAC74785;BAE76506;	EcoCyc:EG11272-MONOMER;ECOL316407:JW1705-MONOMER;
P31802	narP b2193 JW2181	Nitrate/nitrite response regulator protein NarP	3 out of 5	nitrate assimilation [GO:0042128]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	ecj:JW2181;eco:b2193;	PF00196;PF00072;	AAC75253;BAE76656;	EcoCyc:NARP-MONOMER;ECOL316407:JW2181-MONOMER;
P08337	mutT b0099 JW0097	8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)	5 out of 5	DNA repair [GO:0006281]; DNA replication [GO:0006260]	ecj:JW0097;eco:b0099;	PF00293;	AAC73210;BAB96667;	EcoCyc:EG10626-MONOMER;ECOL316407:JW0097-MONOMER;MetaCyc:EG10626-MONOMER;
P0AC26	nirC b3367 JW3330	Nitrite transporter NirC	3 out of 5	nitrate assimilation [GO:0042128]; nitrite transport [GO:0015707]	ecj:JW3330;eco:b3367;	PF01226;	AAC76392;BAE77923;	EcoCyc:NIRC-MONOMER;ECOL316407:JW3330-MONOMER;MetaCyc:NIRC-MONOMER;
P33594	nikE b3480 JW3445	Nickel import ATP-binding protein NikE (EC 7.2.2.11)	3 out of 5	cellular response to DNA damage stimulus [GO:0006974]; nickel cation transmembrane transport [GO:0035444]	ecj:JW3445;eco:b3480;	PF00005;	AAC76505;BAE77813;	EcoCyc:NIKE-MONOMER;ECOL316407:JW3445-MONOMER;MetaCyc:NIKE-MONOMER;
P0A784	orn o204a yjeR b4162 JW5740	Oligoribonuclease (EC 3.1.-.-)	5 out of 5	RNA catabolic process [GO:0006401]	ecj:JW5740;eco:b4162;	PF00929;	AAC77122;BAE78166;	EcoCyc:G7842-MONOMER;ECOL316407:JW5740-MONOMER;MetaCyc:G7842-MONOMER;
P77170	pinQ ydfL b1545 JW1538	Serine recombinase PinQ (EC 3.1.22.-) (EC 6.5.1.-) (DNA-invertase PinQ) (Putative DNA-invertase from lambdoid prophage Qin) (Site-specific recombinase PinQ)	3 out of 5	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	ecj:JW1538;eco:b1545;	PF02796;PF00239;	AAC74618;BAA15249;	EcoCyc:G6819-MONOMER;ECOL316407:JW1538-MONOMER;
P16692	phnP b4092 JW4053	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase (EC 3.1.4.55) (Phosphoribosyl cyclic phosphodiesterase)	5 out of 5	organic phosphonate catabolic process [GO:0019700]	ecj:JW4053;eco:b4092;	PF12706;	AAC77053;BAE78095;	EcoCyc:EG10725-MONOMER;ECOL316407:JW4053-MONOMER;MetaCyc:EG10725-MONOMER;
P0ACC1	prmC hemK b1212 JW1203	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (M.EcoKHemKP) (N5-glutamine methyltransferase PrmC) (Protein release factor methylation C) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	5 out of 5	peptidyl-glutamine methylation [GO:0018364]; protein methylation [GO:0006479]; regulation of gene expression [GO:0010468]; translational termination [GO:0006415]	ecj:JW1203;eco:b1212;	PF13847;PF17827;	AAC74296;BAA36070;	EcoCyc:EG12424-MONOMER;ECOL316407:JW1203-MONOMER;MetaCyc:EG12424-MONOMER;
P77541	prpB yahQ b0331 JW0323	2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)	5 out of 5	propionate catabolic process, 2-methylcitrate cycle [GO:0019629]	ecj:JW0323;eco:b0331;		AAC73434;BAE76114;	EcoCyc:G6196-MONOMER;ECOL316407:JW0323-MONOMER;MetaCyc:G6196-MONOMER;
P30235	psuK pscK yeiC b2166 JW2153	Pseudouridine kinase (EC 2.7.1.83)	3 out of 5		ecj:JW2153;eco:b2166;	PF00294;	AAC75227;BAE76643;	EcoCyc:EG11646-MONOMER;ECOL316407:JW2153-MONOMER;
P0A7F9	queA b0405 JW0395	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	5 out of 5	queuosine biosynthetic process [GO:0008616]; response to radiation [GO:0009314]; tRNA wobble guanine modification [GO:0002099]	ecj:JW0395;eco:b0405;	PF02547;	AAC73508;BAE76185;	EcoCyc:EG10812-MONOMER;ECOL316407:JW0395-MONOMER;MetaCyc:EG10812-MONOMER;
P0ABB8	mgtA corB mgt b4242 JW4201	Magnesium-transporting ATPase, P-type 1 (EC 7.2.2.14) (Mg(2+) transport ATPase, P-type 1)	5 out of 5	cellular response to magnesium ion [GO:0071286]; magnesium ion transmembrane transport [GO:1903830]	ecj:JW4201;eco:b4242;	PF00689;PF00690;	AAC77199;BAE78241;	EcoCyc:MGTA-MONOMER;ECOL316407:JW4201-MONOMER;
P30843	basR pmrA b4113 JW4074	Transcriptional regulatory protein BasR	5 out of 5	phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]; response to antibiotic [GO:0046677]; response to iron(III) ion [GO:0010041]	ecj:JW4074;eco:b4113;	PF00072;PF00486;	AAC77074;BAE78115;	EcoCyc:BASR-MONOMER;ECOL316407:JW4074-MONOMER;
P66948	bepA yfgC b2494 JW2479	Beta-barrel assembly-enhancing protease (EC 3.4.-.-)	5 out of 5	chaperone-mediated protein folding [GO:0061077]; Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; proteolysis involved in cellular protein catabolic process [GO:0051603]	ecj:JW2479;eco:b2494;	PF01435;	AAC75547;BAE76724;	EcoCyc:G7311-MONOMER;ECOL316407:JW2479-MONOMER;MetaCyc:G7311-MONOMER;
P0ADJ5	bcsF yhjT b3537 JW5663	Cellulose biosynthesis protein BcsF	2 out of 5	cellulose biosynthetic process [GO:0030244]	ecj:JW5663;eco:b3537;	PF11120;	AAC76562;BAE77758;	EcoCyc:EG12264-MONOMER;ECOL316407:JW5663-MONOMER;
P31551	caiD yaaL b0036 JW0035	Carnitinyl-CoA dehydratase (EC 4.2.1.149) (Crotonobetainyl-CoA hydratase)	4 out of 5	carnitine catabolic process [GO:0042413]	ecj:JW0035;eco:b0036;	PF00378;	AAC73147;BAB96605;	EcoCyc:CARNRACE-MONOMER;ECOL316407:JW0035-MONOMER;MetaCyc:CARNRACE-MONOMER;
P77319	hscC ybeW b0650 JW0645	Chaperone protein HscC (Hsc62)	3 out of 5	cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; response to unfolded protein [GO:0006986]	ecj:JW0645;eco:b0650;	PF00012;	AAC73751;BAA35297;	EcoCyc:G6357-MONOMER;ECOL316407:JW0645-MONOMER;
P24192	hypD b2729 JW2699	Hydrogenase maturation factor HypD (Hydrogenase isoenzymes formation protein HypD)	5 out of 5	cellular protein modification process [GO:0006464]; protein maturation [GO:0051604]	ecj:JW2699;eco:b2729;	PF01924;	AAC75771;BAE76806;	EcoCyc:EG10486-MONOMER;ECOL316407:JW2699-MONOMER;
P24232	hmp fsrB hmpA b2552 JW2536	Flavohemoprotein (Flavohemoglobin) (HMP) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	5 out of 5	cellular response to nitrosative stress [GO:0071500]; nitric oxide catabolic process [GO:0046210]; response to nitrosative stress [GO:0051409]; response to toxic substance [GO:0009636]	ecj:JW2536;eco:b2552;	PF00970;PF00042;PF00175;	AAC75605;BAA16460;	EcoCyc:EG10456-MONOMER;ECOL316407:JW2536-MONOMER;MetaCyc:EG10456-MONOMER;
P69222	infA b0884 JW0867	Translation initiation factor IF-1	4 out of 5		ecj:JW0867;eco:b0884;	PF01176;	AAC73970;BAA35602;	EcoCyc:EG10504-MONOMER;ECOL316407:JW0867-MONOMER;
P19767	insA7 b4294 JW4254	Insertion element IS1 7 protein InsA (IS1f)	2 out of 5	transposition, DNA-mediated [GO:0006313]	ecj:JW4254;eco:b4294;	PF12759;PF03811;	AAC77250;BAE78285;	EcoCyc:G7908-MONOMER;ECOL316407:JW4254-MONOMER;
P52643	ldhA hslI htpH b1380 JW1375	D-lactate dehydrogenase (D-LDH) (EC 1.1.1.28) (Fermentative lactate dehydrogenase)	4 out of 5	mixed acid fermentation [GO:0019664]; response to heat [GO:0009408]	ecj:JW1375;eco:b1380;	PF00389;PF02826;	AAC74462;BAA14990;	EcoCyc:DLACTDEHYDROGNAD-MONOMER;ECOL316407:JW1375-MONOMER;MetaCyc:DLACTDEHYDROGNAD-MONOMER;
P31547	metI yaeE b0198 JW0194	D-methionine transport system permease protein MetI	5 out of 5	amino acid transport [GO:0006865]; D-methionine transport [GO:0048473]	ecj:JW0194;eco:b0198;	PF00528;	AAC73309;BAA77875;	EcoCyc:METI-MONOMER;ECOL316407:JW0194-MONOMER;MetaCyc:METI-MONOMER;
P76535	murQ yfeU b2428 JW2421	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	5 out of 5	1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; amino sugar catabolic process [GO:0046348]; carbohydrate metabolic process [GO:0005975]; N-acetylmuramic acid catabolic process [GO:0097173]; peptidoglycan turnover [GO:0009254]	ecj:JW2421;eco:b2428;	PF01380;	AAC75481;BAA16312;	EcoCyc:G7263-MONOMER;ECOL316407:JW2421-MONOMER;MetaCyc:G7263-MONOMER;
P46022	mtgA mgt yrbM b3208 JW3175	Biosynthetic peptidoglycan transglycosylase (EC 2.4.1.129) (Glycan polymerase) (Monofunctional biosynthetic peptidoglycan transglycosylase) (Monofunctional glycosyltransferase) (Monofunctional GTase) (Peptidoglycan glycosyltransferase MtgA) (PGT)	5 out of 5	cell wall organization [GO:0071555]; Gram-negative-bacterium-type cell wall biogenesis [GO:0043164]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ecj:JW3175;eco:b3208;	PF00912;	AAC76240;BAE77252;	EcoCyc:G7668-MONOMER;ECOL316407:JW3175-MONOMER;MetaCyc:G7668-MONOMER;
P69856	nanC yjhA b4311 JW5778	Probable N-acetylneuraminic acid outer membrane channel protein NanC (NanR-regulated channel) (Porin NanC)	5 out of 5	oligosaccharide transport [GO:0015772]	ecj:JW5778;eco:b4311;	PF06178;	AAC77267;BAE78304;	EcoCyc:G7921-MONOMER;ECOL316407:JW5778-MONOMER;MetaCyc:G7921-MONOMER;
P31806	nnr yjeF b4167 JW4125	Bifunctional NAD(P)H-hydrate repair enzyme Nnr (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)]	5 out of 5	metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]	ecj:JW4125;eco:b4167;	PF01256;PF03853;	AAC77124;BAE78168;	EcoCyc:EG11758-MONOMER;ECOL316407:JW4125-MONOMER;MetaCyc:EG11758-MONOMER;
P0AFC0	nudB ntpA b1865 JW1854	Dihydroneopterin triphosphate diphosphatase (EC 3.6.1.67) (Dihydroneopterin triphosphate pyrophosphatase) (dATP pyrophosphohydrolase)	5 out of 5	folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	ecj:JW1854;eco:b1865;	PF00293;	AAC74935;BAA15676;	EcoCyc:H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER;ECOL316407:JW1854-MONOMER;MetaCyc:H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER;
P0AFM4	psiF b0384 JW5054	Phosphate starvation-inducible protein PsiF	1 out of 5		ecj:JW5054;eco:b0384;	PF07769;	AAC73487;BAE76165;	EcoCyc:EG11401-MONOMER;ECOL316407:JW5054-MONOMER;
P32154	frvB yiiJ b3899 JW5562	Fructose-like PTS system EIIBC component [Includes: PTS system fructose-like EIIB component (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component); PTS system fructose-like EIIC component (Fructose-like permease IIC component)]	3 out of 5	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	ecj:JW5562;eco:b3899;	PF02378;PF02302;	AAC76881;BAE77410;	EcoCyc:FRVB-MONOMER;ECOL316407:JW5562-MONOMER;MetaCyc:FRVB-MONOMER;
P77272	murP yfeV b2429 JW2422	PTS system N-acetylmuramic acid-specific EIIBC component (EIIBC-MurNAc) [Includes: N-acetylmuramic acid-specific phosphotransferase enzyme IIB component (EC 2.7.1.192) (PTS system N-acetylmuramic acid-specific EIIB component); N-acetylmuramic acid permease IIC component (PTS system N-acetylmuramic acid-specific EIIC component)]	5 out of 5	carbohydrate transmembrane transport [GO:0034219]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	ecj:JW2422;eco:b2429;	PF00367;PF02378;	AAC75482;BAA16313;	EcoCyc:MONOMER0-5;ECOL316407:JW2422-MONOMER;MetaCyc:MONOMER0-5;
P69824	cmtB b2934 JW2901	Mannitol-specific cryptic phosphotransferase enzyme IIA component (EIIA-Mtl) (EIII-Mtl) (PTS system mannitol-specific EIIA component)	2 out of 5	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	ecj:JW2901;eco:b2934;	PF00359;	AAC75971;BAE76997;	EcoCyc:CMTB-MONOMER;ECOL316407:JW2901-MONOMER;MetaCyc:CMTB-MONOMER;
P0AB96	arsC arsG b3503 JW3470	Arsenate reductase (EC 1.20.4.1) (Arsenical pump modifier)	2 out of 5	cellular response to DNA damage stimulus [GO:0006974]; response to arsenic-containing substance [GO:0046685]	ecj:JW3470;eco:b3503;	PF03960;	AAC76528;BAE77791;	EcoCyc:EG12237-MONOMER;ECOL316407:JW3470-MONOMER;
P23894	htpX b1829 JW1818	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	5 out of 5	proteolysis [GO:0006508]; response to temperature stimulus [GO:0009266]	ecj:JW1818;eco:b1829;	PF01435;	AAC74899;BAA15637;	EcoCyc:EG10462-MONOMER;ECOL316407:JW1818-MONOMER;
P0ACG8	hslR yrfH b3400 JW3363	Heat shock protein 15 (HSP15)	4 out of 5	cellular response to heat [GO:0034605]; response to heat [GO:0009408]	ecj:JW3363;eco:b3400;	PF01479;	AAC76425;BAE77891;	EcoCyc:G7743-MONOMER;ECOL316407:JW3363-MONOMER;
P28630	holA b0640 JW0635	DNA polymerase III subunit delta (EC 2.7.7.7)	5 out of 5	DNA-dependent DNA replication [GO:0006261]	ecj:JW0635;eco:b0640;	PF14840;PF06144;	AAC73741;BAA35287;	EcoCyc:EG11412-MONOMER;ECOL316407:JW0635-MONOMER;MetaCyc:EG11412-MONOMER;
P39208	idnK gntV b4268 JW4225	Thermosensitive gluconokinase (EC 2.7.1.12) (Gluconate kinase 1)	3 out of 5	D-gluconate catabolic process [GO:0046177]; D-gluconate metabolic process [GO:0019521]; L-idonate catabolic process [GO:0046183]	ecj:JW4225;eco:b4268;	PF01202;	AAC77225;BAE78265;	EcoCyc:GLUCONOKINI-MONOMER;ECOL316407:JW4225-MONOMER;MetaCyc:GLUCONOKINI-MONOMER;
P0A9P9	idnO yjgU b4266 JW4223	5-keto-D-gluconate 5-reductase (EC 1.1.1.69)	4 out of 5	L-idonate catabolic process [GO:0046183]	ecj:JW4223;eco:b4266;	PF00106;	AAC77223;BAE78263;	EcoCyc:GLUCONREDUCT-MONOMER;ECOL316407:JW4223-MONOMER;MetaCyc:GLUCONREDUCT-MONOMER;
P0CE52	insH4 b1331 JW1324	Transposase InsH for insertion sequence element IS5F	2 out of 5	transposition, DNA-mediated [GO:0006313]	ecj:JW1324;eco:b0259;eco:b0552;eco:b0656;eco:b1331;eco:b2030;eco:b2192;eco:b2982;eco:b3218;eco:b3505;	PF01609;PF05598;	AAC74413;BAA14924;	EcoCyc:MONOMER0-4236;
P0CF66	insE1 b0298 JW5036	Transposase InsE for insertion sequence IS3A	2 out of 5	transposition, DNA-mediated [GO:0006313]	ecj:JW5036;eco:b0298;eco:b0373;eco:b0540;eco:b1027;eco:b2088;	PF01527;	AAC73401;BAE76083;	EcoCyc:G6534-MONOMER;
P0CF09	insA3 b0275 JW0269	Insertion element IS1 3 protein InsA (IS1c)	2 out of 5	transposition, DNA-mediated [GO:0006313]	ecj:JW0269;eco:b0265;eco:b0275;eco:b4516;	PF12759;PF03811;	AAC73378;BAE76059;	EcoCyc:MONOMER0-4227;
P05827	ilvY b3773 JW3746	HTH-type transcriptional regulator IlvY	3 out of 5	branched-chain amino acid biosynthetic process [GO:0009082]; regulation of transcription, DNA-templated [GO:0006355]	ecj:JW3746;eco:b3773;	PF00126;PF03466;	AAC77493;BAE77524;	EcoCyc:PD00200;ECOL316407:JW3746-MONOMER;
P62617	ispF mecS ygbB b2746 JW2716	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	5 out of 5	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]; ubiquinone biosynthetic process [GO:0006744]	ecj:JW2716;eco:b2746;	PF02542;	AAC75788;BAE76823;	EcoCyc:EG11816-MONOMER;ECOL316407:JW2716-MONOMER;MetaCyc:EG11816-MONOMER;
P0AEX5	prkB yhfF b3355 JW3318	Probable phosphoribulokinase (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase)	2 out of 5	carbohydrate metabolic process [GO:0005975]	ecj:JW3318;eco:b3355;	PF00485;	AAC76380;BAE77935;	EcoCyc:EG12365-MONOMER;ECOL316407:JW3318-MONOMER;
P76159	rrrQ arrQ ydfQ b1554 JW1546	Probable prophage lysozyme (EC 3.2.1.17) (Endolysin) (Lysis protein) (Muramidase) (Probable lysozyme from lambdoid prophage Qin)	3 out of 5	cell wall macromolecule catabolic process [GO:0016998]; cytolysis [GO:0019835]; defense response to bacterium [GO:0042742]; peptidoglycan catabolic process [GO:0009253]; viral release from host cell [GO:0019076]	ecj:JW1546;eco:b1554;	PF00959;	AAC74627;BAE76469;	EcoCyc:G6827-MONOMER;ECOL316407:JW1546-MONOMER;
